"pounded_sabre_cat_tooth","Pounded Sabre Cat Tooth","319E9490","fortify_unarmed","Fortify Unarmed","8A020E2B","positive","1","1.000000","120","0.100000","2"
"pounded_sabre_cat_tooth","Pounded Sabre Cat Tooth","319E9490","fortify_armor_rating","Fortify Armor Rating","0003EB1E","positive","2","12.000000","120","0.100000","2"
"pounded_sabre_cat_tooth","Pounded Sabre Cat Tooth","319E9490","fortify_smithing","Fortify Smithing","0003EB1D","positive","3","1.000000","120","0.100000","2"
"pounded_sabre_cat_tooth","Pounded Sabre Cat Tooth","319E9490","weakness_to_poison","Weakness to Poison","00090042","negative","4","6.000000","30","0.100000","2"
"deathbell","Deathbell","000516C8","damage_health","Damage Health","0003EB42","negative","1","12.000000","0","0.100000","4"
"deathbell","Deathbell","000516C8","damage_maximum_stamina","Damage Maximum Stamina","00073F23","negative","2","16.000000","60","0.100000","4"
"deathbell","Deathbell","000516C8","tardiness","Tardiness","00073F25","negative","3","50.000000","4","0.100000","4"
"deathbell","Deathbell","000516C8","weakness_to_poison","Weakness to Poison","00090042","negative","4","6.000000","30","0.100000","4"
"dwemer_egg","Dwemer Egg","B1005F43","resist_shock","Resist Shock","0003EAEC","positive","1","3.000000","60","0.500000","25"
"dwemer_egg","Dwemer Egg","B1005F43","fortify_lockpicking","Fortify Lockpicking","0003EB21","positive","2","2.000000","30","0.500000","25"
"dwemer_egg","Dwemer Egg","B1005F43","weakness_to_shock","Weakness to Shock","00073F2F","negative","3","2.000000","30","0.500000","25"
"dwemer_egg","Dwemer Egg","B1005F43","paralysis","Paralysis","00073F30","negative","4","0.000000","2","0.500000","25"
"dragon_horn","Dragon Horn","FEB2D922","fortify_armor_rating","Fortify Armor Rating","0003EB1E","positive","1","48.000000","120","0.250000","100"
"dragon_horn","Dragon Horn","FEB2D922","fortify_health","Fortify Health","0003EAF3","positive","2","16.000000","300","0.250000","100"
"dragon_horn","Dragon Horn","FEB2D922","fortify_magicka","Fortify Magicka","0003EAF8","positive","3","16.000000","300","0.250000","100"
"dragon_horn","Dragon Horn","FEB2D922","fortify_stamina","Fortify Stamina","0003EAF9","positive","4","16.000000","300","0.250000","100"
"dragon_bile","Dragon Bile","FEB2D804","weakness_to_fire","Weakness to Fire","00073F2D","negative","1","8.000000","30","0.250000","50"
"dragon_bile","Dragon Bile","FEB2D804","weakness_to_frost","Weakness to Frost","00073F2E","negative","2","8.000000","30","0.250000","50"
"dragon_bile","Dragon Bile","FEB2D804","weakness_to_shock","Weakness to Shock","00073F2F","negative","3","8.000000","30","0.250000","50"
"dragon_bile","Dragon Bile","FEB2D804","weakness_to_poison","Weakness to Poison","00090042","negative","4","12.000000","30","0.250000","50"
"dragon_rheum","Dragon Rheum","FEB2D803","damage_health","Damage Health","0003EB42","negative","1","16.000000","0","0.250000","50"
"dragon_rheum","Dragon Rheum","FEB2D803","restore_health","Restore Health","0003EB15","positive","2","2.000000","20","0.250000","50"
"dragon_rheum","Dragon Rheum","FEB2D803","restore_magicka","Restore Magicka","0003EB17","positive","3","2.000000","20","0.250000","50"
"dragon_rheum","Dragon Rheum","FEB2D803","restore_stamina","Restore Stamina","0003EB16","positive","4","2.000000","20","0.250000","50"
"dragon_heartscales","Dragon Heartscales","FEB2D801","resist_fire","Resist Fire","0003EAEA","positive","1","8.000000","120","0.500000","100"
"dragon_heartscales","Dragon Heartscales","FEB2D801","resist_frost","Resist Frost","0003EAEB","positive","2","8.000000","120","0.500000","100"
"dragon_heartscales","Dragon Heartscales","FEB2D801","resist_shock","Resist Shock","0003EAEC","positive","3","8.000000","120","0.500000","100"
"dragon_heartscales","Dragon Heartscales","FEB2D801","resist_poison","Resist Poison","00090041","positive","4","12.000000","120","0.500000","100"
"dragon_blood","Dragon Blood","FEB2D800","frenzy","Frenzy","00073F29","negative","1","4.000000","15","0.250000","50"
"dragon_blood","Dragon Blood","FEB2D800","fortify_health_regeneration","Fortify Health Regeneration","0003EB06","positive","2","32.000000","300","0.250000","50"
"dragon_blood","Dragon Blood","FEB2D800","fortify_magicka_regeneration","Fortify Magicka Regeneration","0003EB07","positive","3","32.000000","300","0.250000","50"
"dragon_blood","Dragon Blood","FEB2D800","fortify_stamina_regeneration","Fortify Stamina Regeneration","0003EB08","positive","4","32.000000","300","0.250000","50"
"dragon_claw","Dragon Claw","FEB2D014","fortify_one_handed","Fortify One-Handed","0003EB19","positive","1","4.000000","120","0.250000","100"
"dragon_claw","Dragon Claw","FEB2D014","fortify_two_handed","Fortify Two-Handed","0003EB1A","positive","2","4.000000","120","0.250000","100"
"dragon_claw","Dragon Claw","FEB2D014","fortify_marksman","Fortify Marksman","0003EB1B","positive","3","4.000000","120","0.250000","100"
